lemma,c1,c2,statement,response,參考cwn sense def.,
發出,發,出,發出 是一種 出,1,,
水質,水,質,水質 是一種 質,1,,
微小,微,小,微小 是一種 小,1,,
簡介,簡,介,簡介 是一種 介,1,,
做出,做,出,做出 是一種 出,0,,
那時,那,時,那時 是一種 時,1,,
定值,定,值,定值 是一種 值,1,,
力爭,力,爭,力爭 是一種 爭,1,,
子孫,子,孫,子孫 是一種 孫,1,,
途徑,途,徑,途徑 是一種 徑,1,1,
排出,排,出,排出 是一種 出,1,1,
身處,身,處,身處 是一種 處,1,,
低溫,低,溫,低溫 是一種 溫,1,,
包裝,包,裝,包裝 是一種 裝,1,1,*
推移,推,移,推移 是一種 移,1,,
陷入,陷,入,陷入 是一種 入,0,1,
照射,照,射,照射 是一種 射,0,1,
沙泥,沙,泥,沙泥 是一種 泥,0,1,
冰雪,冰,雪,冰雪 是一種 雪,1,,
判定,判,定,判定 是一種 定,1,,
更少,更,少,更少 是一種 少,1,,
建設,建,設,建設 是一種 設,0,,
溶入,溶,入,溶入 是一種 入,0,,
準線,準,線,準線 是一種 線,1,,
秦王,秦,王,秦王 是一種 王,1,,
氣候,氣,候,氣候 是一種 候,1,,
家園,家,園,家園 是一種 園,0,1,
苔原,苔,原,苔原 是一種 原,1,1,
健全,健,全,健全 是一種 全,1,,
淡水,淡,水,淡水 是一種 水,1,,
負債,負,債,負債 是一種 債,1,,
樹林,樹,林,樹林 是一種 林,1,,
物種,物,種,物種 是一種 種,1,,
後果,後,果,後果 是一種 果,1,,
水準,水,準,水準 是一種 準,1,,
半身,半,身,半身 是一種 身,1,,
敝國,敝,國,敝國 是一種 國,1,,
不宜,不,宜,不宜 是一種 宜,0,,*
慘遭,慘,遭,慘遭 是一種 遭,1,,
出嫁,出,嫁,出嫁 是一種 嫁,1,,
等等,等,等,等等 是一種 等,1,,
抖出,抖,出,抖出 是一種 出,1,,
兒時,兒,時,兒時 是一種 時,1,,
仿照,仿,照,仿照 是一種 照,0,1,
鋼琴,鋼,琴,鋼琴 是一種 琴,1,,
給予,給,予,給予 是一種 予,1,1,
罐子,罐,子,罐子 是一種 子,0,,
好比,好,比,好比 是一種 比,1,1,
婚後,婚,後,婚後 是一種 後,1,,
給予,給,予,給予 是一種 予,1,1,
獎金,獎,金,獎金 是一種 金,1,,
捷徑,捷,徑,捷徑 是一種 徑,1,,
近路,近,路,近路 是一種 路,1,,
距離,距,離,距離 是一種 離,1,1,
兔子,兔,子,兔子 是一種 子,0,,
丹紅,丹,紅,丹紅 是一種 紅,1,,
全球,全,球,全球 是一種 球,1,,
警員,警,員,警員 是一種 員,0,,
大伙,大,伙,大伙 是一種 伙,1,,
制伏,制,伏,制伏 是一種 伏,1,1,
注意,注,意,注意 是一種 意,0,,
賣出,賣,出,賣出 是一種 出,0,1,
名牌,名,牌,名牌 是一種 牌,1,,
某些,某,些,某些 是一種 些,1,,
牛郎,牛,郎,牛郎 是一種 郎,1,,
朋友,朋,友,朋友 是一種 友,1,,
期末,期,末,期末 是一種 末,1,,
前者,前,者,前者 是一種 者,1,,
球迷,球,迷,球迷 是一種 迷,1,,
如同,如,同,如同 是一種 同,1,,
涉及,涉,及,涉及 是一種 及,0,,
勝過,勝,過,勝過 是一種 過,0,,
史前,史,前,史前 是一種 前,1,,
隨同,隨,同,隨同 是一種 同,0,1,
提交,提,交,提交 是一種 交,1,,
外套,外,套,外套 是一種 套,1,,
為甚,為,甚,為甚 是一種 甚,1,,
午後,午,後,午後 是一種 後,1,,
喜愛,喜,愛,喜愛 是一種 愛,1,,
兄弟,兄,弟,兄弟 是一種 弟,1,,
一點,一,點,一點 是一種 點,1,1,
依循,依,循,依循 是一種 循,1,1,
以來,以,來,以來 是一種 來,1,,
以外,以,外,以外 是一種 外,1,,
有的,有,的,有的 是一種 的,0,1,*
有些,有,些,有些 是一種 些,1,1,
予以,予,以,予以 是一種 以,0,1,*
戰後,戰,後,戰後 是一種 後,1,,
暫時,暫,時,暫時 是一種 時,1,,
之後,之,後,之後 是一種 後,1,,
之前,之,前,之前 是一種 前,1,,
助陣,助,陣,助陣 是一種 陣,0,,
自身,自,身,自身 是一種 身,1,,
坐車,坐,車,坐車 是一種 車,1,,
怎的,怎,的,怎的 是一種 的,0,,
幹麼,幹,麼,幹麼 是一種 麼,0,1,
臨到,臨,到,臨到 是一種 到,1,1,
等到,等,到,等到 是一種 到,1,,
除去,除,去,除去 是一種 去,0,,
宏觀,宏,觀,宏觀 是一種 觀,1,,
有聲,有,聲,有聲 是一種 聲,1,,
不如,不,如,不如 是一種 如,0,,*
另外,另,外,另外 是一種 外,0,1,
一律,一,律,一律 是一種 律,0,1,
確實,確,實,確實 是一種 實,0,1,
初步,初,步,初步 是一種 步,1,,
同樣,同,樣,同樣 是一種 樣,1,,
過分,過,分,過分 是一種 分,1,,
這樣,這,樣,這樣 是一種 樣,1,,
接連,接,連,接連 是一種 連,1,,
小人,小,人,小人 是一種 人,1,,
油煙,油,煙,油煙 是一種 煙,1,,
界線,界,線,界線 是一種 線,1,,
脈動,脈,動,脈動 是一種 動,1,,
嫌疑,嫌,疑,嫌疑 是一種 疑,0,1,
學運,學,運,學運 是一種 運,1,,
獵物,獵,物,獵物 是一種 物,1,,
子宮,子,宮,子宮 是一種 宮,1,,
光電,光,電,光電 是一種 電,1,1,
版面,版,面,版面 是一種 面,1,1,*
眉毛,眉,毛,眉毛 是一種 毛,1,,
筆觸,筆,觸,筆觸 是一種 觸,1,,
論述,論,述,論述 是一種 述,0,1,
觸角,觸,角,觸角 是一種 角,1,,
曾參,曾,參,曾參 是一種 參,0,1,
王維,王,維,王維 是一種 維,0,,
傑克,傑,克,傑克 是一種 克,0,,
這裏,這,裏,這裏 是一種 裏,1,,
西德,西,德,西德 是一種 德,1,,
遠東,遠,東,遠東 是一種 東,1,,
大量,大,量,大量 是一種 量,1,,
之初,之,初,之初 是一種 初,1,,
妳們,妳,們,妳們 是一種 們,1,,
咱們,咱,們,咱們 是一種 們,1,,
大眾,大,眾,大眾 是一種 眾,1,,
別人,別,人,別人 是一種 人,1,,
迴旋,迴,旋,迴旋 是一種 旋,1,,
過冬,過,冬,過冬 是一種 冬,0,1,
作怪,作,怪,作怪 是一種 怪,0,1,*
進展,進,展,進展 是一種 展,1,1,
撒嬌,撒,嬌,撒嬌 是一種 嬌,1,1,
推辭,推,辭,推辭 是一種 辭,1,,
過目,過,目,過目 是一種 目,0,,
效命,效,命,效命 是一種 命,0,1,
施力,施,力,施力 是一種 力,0,1,
速寫,速,寫,速寫 是一種 寫,1,,
護航,護,航,護航 是一種 航,0,,
分段,分,段,分段 是一種 段,0,1,*
離散,離,散,離散 是一種 散,1,1,
拜託,拜,託,拜託 是一種 託,1,,
響應,響,應,響應 是一種 應,1,,
批發,批,發,批發 是一種 發,1,1,
獻藝,獻,藝,獻藝 是一種 藝,0,,
發包,發,包,發包 是一種 包,1,1,
捐贈,捐,贈,捐贈 是一種 贈,1,,
勒索,勒,索,勒索 是一種 索,1,,
敘述,敘,述,敘述 是一種 述,1,1,
遞給,遞,給,遞給 是一種 給,1,,
聽見,聽,見,聽見 是一種 見,0,,
記錄,記,錄,記錄 是一種 錄,1,1,
預測,預,測,預測 是一種 測,1,,
反應,反,應,反應 是一種 應,1,,
預期,預,期,預期 是一種 期,1,,
逼迫,逼,迫,逼迫 是一種 迫,1,,
假裝,假,裝,假裝 是一種 裝,1,,
命令,命,令,命令 是一種 令,1,,
交由,交,由,交由 是一種 由,0,,
命名,命,名,命名 是一種 名,0,,
化為,化,為,化為 是一種 為,1,,
即為,即,為,即為 是一種 為,1,,
應邀,應,邀,應邀 是一種 邀,0,,
到案,到,案,到案 是一種 案,0,,
荒唐,荒,唐,荒唐 是一種 唐,0,,
不實,不,實,不實 是一種 實,0,*,
相愛,相,愛,相愛 是一種 愛,1,,
細微,細,微,細微 是一種 微,1,,
架空,架,空,架空 是一種 空,1,,
發源,發,源,發源 是一種 源,1,,
綿延,綿,延,綿延 是一種 延,1,,
維繫,維,繫,維繫 是一種 繫,1,,
推崇,推,崇,推崇 是一種 崇,1,,
降至,降,至,降至 是一種 至,0,,
遵循,遵,循,遵循 是一種 循,1,,
疏忽,疏,忽,疏忽 是一種 忽,1,,
傾向,傾,向,傾向 是一種 向,0,,
寧可,寧,可,寧可 是一種 可,1,,
涉嫌,涉,嫌,涉嫌 是一種 嫌,1,,
曉得,曉,得,曉得 是一種 得,0,,
輪到,輪,到,輪到 是一種 到,0,,
後悔,後,悔,後悔 是一種 悔,1,,
被迫,被,迫,被迫 是一種 迫,1,,
習慣,習,慣,習慣 是一種 慣,1,1,
秒鐘,秒,鐘,秒鐘 是一種 鐘,0,,
秒角,秒,角,秒角 是一種 角,0,,
梅樹,梅,樹,梅樹 是一種 樹,1,,
四周,四,周,四周 是一種 周,1,,
縱容,縱,容,縱容 是一種 容,1,,
之外,之,外,之外 是一種 外,1,,
那些,那,些,那些 是一種 些,1,,
寧願,寧,願,寧願 是一種 願,1,,
好發,好,發,好發 是一種 發,1,,
鍋子,鍋,子,鍋子 是一種 子,0,,
湯匙,湯,匙,湯匙 是一種 匙,1,,
