lemma,c1,c2,statement,response
發出,發,出,發出 是一種 出,
水質,水,質,水質 是一種 質,
微小,微,小,微小 是一種 小,
簡介,簡,介,簡介 是一種 介,
做出,做,出,做出 是一種 出,
那時,那,時,那時 是一種 時,
定值,定,值,定值 是一種 值,
力爭,力,爭,力爭 是一種 爭,
子孫,子,孫,子孫 是一種 孫,
途徑,途,徑,途徑 是一種 徑,
排出,排,出,排出 是一種 出,
身處,身,處,身處 是一種 處,
低溫,低,溫,低溫 是一種 溫,
包裝,包,裝,包裝 是一種 裝,
推移,推,移,推移 是一種 移,
陷入,陷,入,陷入 是一種 入,
照射,照,射,照射 是一種 射,
沙泥,沙,泥,沙泥 是一種 泥,
冰雪,冰,雪,冰雪 是一種 雪,
判定,判,定,判定 是一種 定,
更少,更,少,更少 是一種 少,
建設,建,設,建設 是一種 設,
溶入,溶,入,溶入 是一種 入,
準線,準,線,準線 是一種 線,
秦王,秦,王,秦王 是一種 王,
氣候,氣,候,氣候 是一種 候,
家園,家,園,家園 是一種 園,
苔原,苔,原,苔原 是一種 原,
健全,健,全,健全 是一種 全,
淡水,淡,水,淡水 是一種 水,
負債,負,債,負債 是一種 債,
樹林,樹,林,樹林 是一種 林,
物種,物,種,物種 是一種 種,
後果,後,果,後果 是一種 果,
水準,水,準,水準 是一種 準,
半身,半,身,半身 是一種 身,
敝國,敝,國,敝國 是一種 國,
不宜,不,宜,不宜 是一種 宜,
慘遭,慘,遭,慘遭 是一種 遭,
出嫁,出,嫁,出嫁 是一種 嫁,
等等,等,等,等等 是一種 等,
抖出,抖,出,抖出 是一種 出,
兒時,兒,時,兒時 是一種 時,
仿照,仿,照,仿照 是一種 照,
鋼琴,鋼,琴,鋼琴 是一種 琴,
給予,給,予,給予 是一種 予,
罐子,罐,子,罐子 是一種 子,
好比,好,比,好比 是一種 比,
婚後,婚,後,婚後 是一種 後,
給予,給,予,給予 是一種 予,
獎金,獎,金,獎金 是一種 金,
捷徑,捷,徑,捷徑 是一種 徑,
近路,近,路,近路 是一種 路,
距離,距,離,距離 是一種 離,
兔子,兔,子,兔子 是一種 子,
丹紅,丹,紅,丹紅 是一種 紅,
全球,全,球,全球 是一種 球,
警員,警,員,警員 是一種 員,
大伙,大,伙,大伙 是一種 伙,
制伏,制,伏,制伏 是一種 伏,
注意,注,意,注意 是一種 意,
賣出,賣,出,賣出 是一種 出,
名牌,名,牌,名牌 是一種 牌,
某些,某,些,某些 是一種 些,
牛郎,牛,郎,牛郎 是一種 郎,
朋友,朋,友,朋友 是一種 友,
期末,期,末,期末 是一種 末,
前者,前,者,前者 是一種 者,
球迷,球,迷,球迷 是一種 迷,
如同,如,同,如同 是一種 同,
涉及,涉,及,涉及 是一種 及,
勝過,勝,過,勝過 是一種 過,
史前,史,前,史前 是一種 前,
隨同,隨,同,隨同 是一種 同,
提交,提,交,提交 是一種 交,
外套,外,套,外套 是一種 套,
為甚,為,甚,為甚 是一種 甚,
午後,午,後,午後 是一種 後,
喜愛,喜,愛,喜愛 是一種 愛,
兄弟,兄,弟,兄弟 是一種 弟,
一點,一,點,一點 是一種 點,
依循,依,循,依循 是一種 循,
以來,以,來,以來 是一種 來,
以外,以,外,以外 是一種 外,
有的,有,的,有的 是一種 的,
有些,有,些,有些 是一種 些,
予以,予,以,予以 是一種 以,
戰後,戰,後,戰後 是一種 後,
暫時,暫,時,暫時 是一種 時,
之後,之,後,之後 是一種 後,
之前,之,前,之前 是一種 前,
助陣,助,陣,助陣 是一種 陣,
自身,自,身,自身 是一種 身,
坐車,坐,車,坐車 是一種 車,
怎的,怎,的,怎的 是一種 的,
