lemma,c1,c2,statement,response,參考cwn def.
油污,油,污,油污 是一種 污,1,
暖季,暖,季,暖季 是一種 季,1,
錯亂,錯,亂,錯亂 是一種 亂,1,VH 動詞
基因,基,因,基因 是一種 因,0,
那時,那,時,那時 是一種 時,0,
定律,定,律,定律 是一種 律,1,Na 名詞
入手,入,手,入手 是一種 手,0,
大氣,大,氣,大氣 是一種 氣,1,<CwnSense[09295603](大氣): 呼吸時進出呼吸器官的氣體。> 
外殼,外,殼,外殼 是一種 殼,1,
排出,排,出,排出 是一種 出,0,
有害,有,害,有害 是一種 害,0,
住房,住,房,住房 是一種 房,1,<CwnSense[09298503](住房): 旅館中的供旅客住宿的房間。>
分解,分,解,分解 是一種 解,1,
引入,引,入,引入 是一種 入,0,
深遠,深,遠,深遠 是一種 遠,0,
種種,種,種,種種 是一種 種,0,
污水,污,水,污水 是一種 水,1,
舒適,舒,適,舒適 是一種 適,0,
鳥類,鳥,類,鳥類 是一種 類,1,
所得,所,得,所得 是一種 得,0,
作用,作,用,作用 是一種 用,0,
傾卸,傾,卸,傾卸 是一種 卸,0,
減弱,減,弱,減弱 是一種 弱,0,
秦王,秦,王,秦王 是一種 王,1,
國際,國,際,國際 是一種 際,1,
超載,超,載,超載 是一種 載,0,
用量,用,量,用量 是一種 量,1,
雨林,雨,林,雨林 是一種 林,1,
淡水,淡,水,淡水 是一種 水,1,
演化,演,化,演化 是一種 化,0,
樹林,樹,林,樹林 是一種 林,1,
物種,物,種,物種 是一種 種,1,"<CwnSense[08045601](物種): 通指生物種類。> 
 <CwnSense[06516604](種): 生物分類單位的一種，在屬之下，為最底層的分類。> "
開球,開,球,開球 是一種 球,0,
不錯,不,錯,不錯 是一種 錯,0,
愛好,愛,好,愛好 是一種 好,0,"<CwnSense[03000401](愛好): 對事物有深厚的興趣。> 
<CwnSense[04142001](好): 喜愛並養成習慣。> 
<CwnSense[06708106](愛): 對後述事物有深厚的興趣。> "
比喻,比,喻,比喻 是一種 喻,1,"<CwnSense[03002701](比喻): 拿比較熟悉的事物來描述、解釋另一事件。> 
<CwnSense[09099402](喻): 拿比較熟悉的事物來描述、解釋另一事件。> "
不惜,不,惜,不惜 是一種 惜,0,
才藝,才,藝,才藝 是一種 藝,1,
超出,超,出,超出 是一種 出,1,"<CwnSense[03005501](超出): 數目或數量大於後述對象。> 
<CwnSense[07031101](超): 數目或數量大於後述對象。> 
<CwnSense[06595907](出): 數目或數量大於後述對象。>
<CwnSense[03005502](超出): 程度或範圍大於後述對象。>
<CwnSense[06595908](出): 程度或範圍大於後述對象。> "
盜版,盜,版,盜版 是一種 版,0,
電影,電,影,電影 是一種 影,1,"<CwnSense[03009801](電影): 利用強光映射在螢幕上，以供人觀賞的活動影戲。> 
<CwnSense[07051406](影): 利用強光映射在螢幕上，以供人觀賞的活動影戲。> 
<CwnSense[03009802](電影): 影片工業，包括週邊相關的所有活動。> 
<CwnSense[07051407](影): 影片工業，包括週邊相關的所有活動。>  "
多少,多,少,多少 是一種 少,0,
發揮,發,揮,發揮 是一種 揮,0,
豐厚,豐,厚,豐厚 是一種 厚,0,
給以,給,以,給以 是一種 以,0,
故意,故,意,故意 是一種 意,1,我覺得是，但找不到類似的定義
過人,過,人,過人 是一種 人,0,
後者,後,者,後者 是一種 者,0,
火鍋,火,鍋,火鍋 是一種 鍋,0,
尖端,尖,端,尖端 是一種 端,0,
獎狀,獎,狀,獎狀 是一種 狀,1,
姐妹,姐,妹,姐妹 是一種 妹,0,
糾纏,糾,纏,糾纏 是一種 纏,1,"<CwnSense[03024401](糾纏): 條狀物互相糾結在一起。> 
<CwnSense[07061902](纏): 條狀物互相糾結在一起。> "
四川,四,川,四川 是一種 川,0,
朱紅,朱,紅,朱紅 是一種 紅,1,
軍人,軍,人,軍人 是一種 人,1,
警察,警,察,警察 是一種 察,0,
調查,調,查,調查 是一種 查,1,
小我,小,我,小我 是一種 我,1,
心動,心,動,心動 是一種 動,0,
令尊,令,尊,令尊 是一種 尊,0,
明朗,明,朗,明朗 是一種 朗,0,
名聲,名,聲,名聲 是一種 聲,0,
年初,年,初,年初 是一種 初,0,
客人,客,人,客人 是一種 人,1,
漂亮,漂,亮,漂亮 是一種 亮,0,
其他,其,他,其他 是一種 他,0,
秋後,秋,後,秋後 是一種 後,0,
任何,任,何,任何 是一種 何,0,
少時,少,時,少時 是一種 時,0,
生前,生,前,生前 是一種 前,0,
食用,食,用,食用 是一種 用,0,
送交,送,交,送交 是一種 交,1,我覺得是，但找不到特定定義
所有,所,有,所有 是一種 有,0,
外行,外,行,外行 是一種 行,0,
為敵,為,敵,為敵 是一種 敵,0,
為最,為,最,為最 是一種 最,0,
吸收,吸,收,吸收 是一種 收,1,"<CwnLemma: 吸收_1>
<CwnSense[03039317](收): 吸收。> "
新任,新,任,新任 是一種 任,1,"<CwnSense[03047101](新任): 剛接下新的職務是後述對象。>
<CwnSense[03035801](任): 前述對象擔任的職務是後述職務。> "
一半,一,半,一半 是一種 半,0,
一如,一,如,一如 是一種 如,0,
以降,以,降,以降 是一種 降,0,
以前,以,前,以前 是一種 前,0,
呦呦,呦,呦,呦呦 是一種 呦,0,
有如,有,如,有如 是一種 如,0,
誘人,誘,人,誘人 是一種 人,0,
遠路,遠,路,遠路 是一種 路,1,
戰前,戰,前,戰前 是一種 前,0,
整整,整,整,整整 是一種 整,0,
織女,織,女,織女 是一種 女,0,
週末,週,末,週末 是一種 末,0,
自稱,自,稱,自稱 是一種 稱,1,
醉心,醉,心,醉心 是一種 心,0,
沒有,沒,有,沒有 是一種 有,0,
幹嗎,幹,嗎,幹嗎 是一種 嗎,0,
怎麼,怎,麼,怎麼 是一種 麼,0,
時值,時,值,時值 是一種 值,1,"<CwnSense[04012501](時值): 引介事件發生的時間。> 
<CwnSense[03057002](值): 引介事件發生的時間。> "
比照,比,照,比照 是一種 照,1,我覺得是，但cwn找不到
低階,低,階,低階 是一種 階,1,"<CwnSense[04022601](低階): 形容階級架構在底部的。> 
<CwnSense[07071503](階): 比喻特定組織架構中的職位等級。> "
機動,機,動,機動 是一種 動,0,
無線,無,線,無線 是一種 線,0,
其次,其,次,其次 是一種 次,0,
恰好,恰,好,恰好 是一種 好,0,
究竟,究,竟,究竟 是一種 竟,0,
先行,先,行,先行 是一種 行,0,
即可,即,可,即可 是一種 可,0,
這般,這,般,這般 是一種 般,0,
那樣,那,樣,那樣 是一種 樣,0,
如此,如,此,如此 是一種 此,0,
一手,一,手,一手 是一種 手,0,
油品,油,品,油品 是一種 品,1,
品種,品,種,品種 是一種 種,0,
烏龜,烏,龜,烏龜 是一種 龜,1,
專員,專,員,專員 是一種 員,1,"<CwnSense[04060701](專員): 專門負責某特定工作的職員。> 
<CwnSense[07034603](員): 符合特定需求、從事特定工作的人。> "
廢物,廢,物,廢物 是一種 物,1,
聲浪,聲,浪,聲浪 是一種 浪,1,我覺得是但找不到
二胡,二,胡,二胡 是一種 胡,0,
