lemma,c1,c2,statement,response
發出,發,出,發出 是一種 出,
油船,油,船,油船 是一種 船,
油污,油,污,油污 是一種 污,
水質,水,質,水質 是一種 質,
微粒,微,粒,微粒 是一種 粒,
暖季,暖,季,暖季 是一種 季,
微小,微,小,微小 是一種 小,
播遷,播,遷,播遷 是一種 遷,
錯亂,錯,亂,錯亂 是一種 亂,
簡介,簡,介,簡介 是一種 介,
能量,能,量,能量 是一種 量,
基因,基,因,基因 是一種 因,
做出,做,出,做出 是一種 出,
指標,指,標,指標 是一種 標,
那時,那,時,那時 是一種 時,
那時,那,時,那時 是一種 時,
典型,典,型,典型 是一種 型,
定律,定,律,定律 是一種 律,
定值,定,值,定值 是一種 值,
定論,定,論,定論 是一種 論,
入手,入,手,入手 是一種 手,
力爭,力,爭,力爭 是一種 爭,
大氣,大,氣,大氣 是一種 氣,
大氣,大,氣,大氣 是一種 氣,
子孫,子,孫,子孫 是一種 孫,
可行,可,行,可行 是一種 行,
外殼,外,殼,外殼 是一種 殼,
途徑,途,徑,途徑 是一種 徑,
排入,排,入,排入 是一種 入,
排出,排,出,排出 是一種 出,
排出,排,出,排出 是一種 出,
有毒,有,毒,有毒 是一種 毒,
有害,有,害,有害 是一種 害,
身處,身,處,身處 是一種 處,
位處,位,處,位處 是一種 處,
住房,住,房,住房 是一種 房,
低溫,低,溫,低溫 是一種 溫,
分隔,分,隔,分隔 是一種 隔,
分解,分,解,分解 是一種 解,
包裝,包,裝,包裝 是一種 裝,
去除,去,除,去除 是一種 除,
引入,引,入,引入 是一種 入,
推移,推,移,推移 是一種 移,
推進,推,進,推進 是一種 進,
深遠,深,遠,深遠 是一種 遠,
陷入,陷,入,陷入 是一種 入,
減至,減,至,減至 是一種 至,
種種,種,種,種種 是一種 種,
照射,照,射,照射 是一種 射,
移入,移,入,移入 是一種 入,
污水,污,水,污水 是一種 水,
沙泥,沙,泥,沙泥 是一種 泥,
發掘,發,掘,發掘 是一種 掘,
舒適,舒,適,舒適 是一種 適,
冰雪,冰,雪,冰雪 是一種 雪,
龍蝦,龍,蝦,龍蝦 是一種 蝦,
鳥類,鳥,類,鳥類 是一種 類,
判定,判,定,判定 是一種 定,
所及,所,及,所及 是一種 及,
所得,所,得,所得 是一種 得,
更少,更,少,更少 是一種 少,
妥善,妥,善,妥善 是一種 善,
作用,作,用,作用 是一種 用,
建設,建,設,建設 是一種 設,
發佈,發,佈,發佈 是一種 佈,
傾卸,傾,卸,傾卸 是一種 卸,
溶入,溶,入,溶入 是一種 入,
減低,減,低,減低 是一種 低,
減弱,減,弱,減弱 是一種 弱,
準線,準,線,準線 是一種 線,
溫水,溫,水,溫水 是一種 水,
秦王,秦,王,秦王 是一種 王,
秦王,秦,王,秦王 是一種 王,
作法,作,法,作法 是一種 法,
國際,國,際,國際 是一種 際,
氣候,氣,候,氣候 是一種 候,
越界,越,界,越界 是一種 界,
超載,超,載,超載 是一種 載,
家園,家,園,家園 是一種 園,
永續,永,續,永續 是一種 續,
用量,用,量,用量 是一種 量,
苔原,苔,原,苔原 是一種 原,
凍原,凍,原,凍原 是一種 原,
雨林,雨,林,雨林 是一種 林,
健全,健,全,健全 是一種 全,
崩解,崩,解,崩解 是一種 解,
淡水,淡,水,淡水 是一種 水,
淡水,淡,水,淡水 是一種 水,
暖化,暖,化,暖化 是一種 化,
演化,演,化,演化 是一種 化,
負債,負,債,負債 是一種 債,
旱林,旱,林,旱林 是一種 林,
樹林,樹,林,樹林 是一種 林,
樹林,樹,林,樹林 是一種 林,
東西,東,西,東西 是一種 西,
物種,物,種,物種 是一種 種,
物種,物,種,物種 是一種 種,
負面,負,面,負面 是一種 面,
開球,開,球,開球 是一種 球,
後果,後,果,後果 是一種 果,
作為,作,為,作為 是一種 為,
不錯,不,錯,不錯 是一種 錯,
水準,水,準,水準 是一種 準,
為妙,為,妙,為妙 是一種 妙,
愛好,愛,好,愛好 是一種 好,
半身,半,身,半身 是一種 身,
報紙,報,紙,報紙 是一種 紙,
比喻,比,喻,比喻 是一種 喻,
敝國,敝,國,敝國 是一種 國,
不等,不,等,不等 是一種 等,
不惜,不,惜,不惜 是一種 惜,
不宜,不,宜,不宜 是一種 宜,
不予,不,予,不予 是一種 予,
才藝,才,藝,才藝 是一種 藝,
慘遭,慘,遭,慘遭 是一種 遭,
纏身,纏,身,纏身 是一種 身,
超出,超,出,超出 是一種 出,
出嫁,出,嫁,出嫁 是一種 嫁,
大早,大,早,大早 是一種 早,
盜版,盜,版,盜版 是一種 版,
等等,等,等,等等 是一種 等,
弟兄,弟,兄,弟兄 是一種 兄,
電影,電,影,電影 是一種 影,
抖出,抖,出,抖出 是一種 出,
多半,多,半,多半 是一種 半,
多少,多,少,多少 是一種 少,
兒時,兒,時,兒時 是一種 時,
而外,而,外,而外 是一種 外,
發揮,發,揮,發揮 是一種 揮,
仿照,仿,照,仿照 是一種 照,
分鐘,分,鐘,分鐘 是一種 鐘,
豐厚,豐,厚,豐厚 是一種 厚,
鋼琴,鋼,琴,鋼琴 是一種 琴,
歌手,歌,手,歌手 是一種 手,
給以,給,以,給以 是一種 以,
給予,給,予,給予 是一種 予,
更多,更,多,更多 是一種 多,
故意,故,意,故意 是一種 意,
罐子,罐,子,罐子 是一種 子,
過後,過,後,過後 是一種 後,
過人,過,人,過人 是一種 人,
好比,好,比,好比 是一種 比,
好幾,好,幾,好幾 是一種 幾,
後者,後,者,後者 是一種 者,
婚後,婚,後,婚後 是一種 後,
婚前,婚,前,婚前 是一種 前,
火鍋,火,鍋,火鍋 是一種 鍋,
給予,給,予,給予 是一種 予,
季末,季,末,季末 是一種 末,
尖端,尖,端,尖端 是一種 端,
獎金,獎,金,獎金 是一種 金,
獎品,獎,品,獎品 是一種 品,
獎狀,獎,狀,獎狀 是一種 狀,
捷徑,捷,徑,捷徑 是一種 徑,
解雇,解,雇,解雇 是一種 雇,
姐妹,姐,妹,姐妹 是一種 妹,
近路,近,路,近路 是一種 路,
精品,精,品,精品 是一種 品,
