lemma,c1,c2,statement,response
油船,油,船,油船 是一種 船,1
微粒,微,粒,微粒 是一種 粒,1
播遷,播,遷,播遷 是一種 遷,0
能量,能,量,能量 是一種 量,0
指標,指,標,指標 是一種 標,0
典型,典,型,典型 是一種 型,1
定論,定,論,定論 是一種 論,0
大氣,大,氣,大氣 是一種 氣,0
可行,可,行,可行 是一種 行,0
排入,排,入,排入 是一種 入,0
有毒,有,毒,有毒 是一種 毒,0
位處,位,處,位處 是一種 處,0
分隔,分,隔,分隔 是一種 隔,0
去除,去,除,去除 是一種 除,0
推進,推,進,推進 是一種 進,0
減至,減,至,減至 是一種 至,0
移入,移,入,移入 是一種 入,0
發掘,發,掘,發掘 是一種 掘,0
龍蝦,龍,蝦,龍蝦 是一種 蝦,1
所及,所,及,所及 是一種 及,0
妥善,妥,善,妥善 是一種 善,0
發佈,發,佈,發佈 是一種 佈,0
減低,減,低,減低 是一種 低,0
溫水,溫,水,溫水 是一種 水,1
作法,作,法,作法 是一種 法,0
越界,越,界,越界 是一種 界,0
永續,永,續,永續 是一種 續,0
凍原,凍,原,凍原 是一種 原,1
崩解,崩,解,崩解 是一種 解,0
暖化,暖,化,暖化 是一種 化,0
旱林,旱,林,旱林 是一種 林,1
東西,東,西,東西 是一種 西,0
負面,負,面,負面 是一種 面,1
作為,作,為,作為 是一種 為,0
為妙,為,妙,為妙 是一種 妙,0
報紙,報,紙,報紙 是一種 紙,1
不等,不,等,不等 是一種 等,0
不予,不,予,不予 是一種 予,0
纏身,纏,身,纏身 是一種 身,0
大早,大,早,大早 是一種 早,0
弟兄,弟,兄,弟兄 是一種 兄,1
多半,多,半,多半 是一種 半,0
而外,而,外,而外 是一種 外,0
分鐘,分,鐘,分鐘 是一種 鐘,0
歌手,歌,手,歌手 是一種 手,0
更多,更,多,更多 是一種 多,1
過後,過,後,過後 是一種 後,0
好幾,好,幾,好幾 是一種 幾,0
婚前,婚,前,婚前 是一種 前,0
季末,季,末,季末 是一種 末,0
獎品,獎,品,獎品 是一種 品,0
解雇,解,雇,解雇 是一種 雇,0
精品,精,品,精品 是一種 品,0
攤子,攤,子,攤子 是一種 子,0
兔子,兔,子,兔子 是一種 子,0
軍隊,軍,隊,軍隊 是一種 隊,1
臉色,臉,色,臉色 是一種 色,0
警官,警,官,警官 是一種 官,1
跑船,跑,船,跑船 是一種 船,0
順手,順,手,順手 是一種 手,0
靈魂,靈,魂,靈魂 是一種 魂,0
迷信,迷,信,迷信 是一種 信,0
名氣,名,氣,名氣 是一種 氣,0
內行,內,行,內行 是一種 行,0
拍賣,拍,賣,拍賣 是一種 賣,1
皮包,皮,包,皮包 是一種 包,1
其它,其,它,其它 是一種 它,0
勤前,勤,前,勤前 是一種 前,0
全身,全,身,全身 是一種 身,0
入迷,入,迷,入迷 是一種 迷,0
身後,身,後,身後 是一種 後,0
實況,實,況,實況 是一種 況,0
似的,似,的,似的 是一種 的,0
鎖定,鎖,定,鎖定 是一種 定,0
同志,同,志,同志 是一種 志,0
萬一,萬,一,萬一 是一種 一,0
為主,為,主,為主 是一種 主,0
午前,午,前,午前 是一種 前,0
喜好,喜,好,喜好 是一種 好,0
也似,也,似,也似 是一種 似,0
依據,依,據,依據 是一種 據,0
以後,以,後,以後 是一種 後,0
以內,以,內,以內 是一種 內,0
意外,意,外,意外 是一種 外,0
友人,友,人,友人 是一種 人,1
有意,有,意,有意 是一種 意,0
遇見,遇,見,遇見 是一種 見,0
佔領,佔,領,佔領 是一種 領,0
這裡,這,裡,這裡 是一種 裡,0
