lemma,c1,c2,statement,response
一些,一,些,一些 是一種 些,0
一半,一,半,一半 是一種 半,0
一如,一,如,一如 是一種 如,0
一定,一,定,一定 是一種 定,1
一律,一,律,一律 是一種 律,0
一手,一,手,一手 是一種 手,0
一旁,一,旁,一旁 是一種 旁,0
一樣,一,樣,一樣 是一種 樣,1
一生,一,生,一生 是一種 生,1
一致,一,致,一致 是一種 致,0
一般,一,般,一般 是一種 般,0
一點,一,點,一點 是一種 點,1
丈夫,丈,夫,丈夫 是一種 夫,1
不予,不,予,不予 是一種 予,0
不便,不,便,不便 是一種 便,0
不停,不,停,不停 是一種 停,0
不再,不,再,不再 是一種 再,0
不到,不,到,不到 是一種 到,0
不及,不,及,不及 是一種 及,0
不可,不,可,不可 是一種 可,0
不同,不,同,不同 是一種 同,0
不如,不,如,不如 是一種 如,0
不宜,不,宜,不宜 是一種 宜,0
不容,不,容,不容 是一種 容,0
不實,不,實,不實 是一種 實,0
不少,不,少,不少 是一種 少,1
不屑,不,屑,不屑 是一種 屑,0
不已,不,已,不已 是一種 已,0
不忘,不,忘,不忘 是一種 忘,0
不忠,不,忠,不忠 是一種 忠,0
不惜,不,惜,不惜 是一種 惜,0
不敬,不,敬,不敬 是一種 敬,0
不斷,不,斷,不斷 是一種 斷,0
不易,不,易,不易 是一種 易,0
不止,不,止,不止 是一種 止,0
不法,不,法,不法 是一種 法,0
不滿,不,滿,不滿 是一種 滿,0
不盡,不,盡,不盡 是一種 盡,0
不符,不,符,不符 是一種 符,0
不等,不,等,不等 是一種 等,0
不良,不,良,不良 是一種 良,0
不行,不,行,不行 是一種 行,0
不覺,不,覺,不覺 是一種 覺,0
不解,不,解,不解 是一種 解,0
不許,不,許,不許 是一種 許,0
不錯,不,錯,不錯 是一種 錯,0
不顧,不,顧,不顧 是一種 顧,0
並用,並,用,並用 是一種 用,1
並行,並,行,並行 是一種 行,0
丹紅,丹,紅,丹紅 是一種 紅,1
主人,主,人,主人 是一種 人,0
主任,主,任,主任 是一種 任,1
主力,主,力,主力 是一種 力,0
主動,主,動,主動 是一種 動,0
主席,主,席,主席 是一種 席,0
主張,主,張,主張 是一種 張,0
主持,主,持,主持 是一種 持,1
主治,主,治,主治 是一種 治,0
主義,主,義,主義 是一種 義,0
主角,主,角,主角 是一種 角,1
主辦,主,辦,主辦 是一種 辦,1
乃兄,乃,兄,乃兄 是一種 兄,1
乃父,乃,父,乃父 是一種 父,1
之交,之,交,之交 是一種 交,0
之內,之,內,之內 是一種 內,0
之初,之,初,之初 是一種 初,1
之前,之,前,之前 是一種 前,1
之外,之,外,之外 是一種 外,1
之後,之,後,之後 是一種 後,1
之秋,之,秋,之秋 是一種 秋,0
乘坐,乘,坐,乘坐 是一種 坐,0
也似,也,似,也似 是一種 似,0
了解,了,解,了解 是一種 解,0
予以,予,以,予以 是一種 以,0
事務,事,務,事務 是一種 務,1
事實,事,實,事實 是一種 實,0
事業,事,業,事業 是一種 業,0
二胡,二,胡,二胡 是一種 胡,0
互相,互,相,互相 是一種 相,1
些許,些,許,些許 是一種 許,0
亞洲,亞,洲,亞洲 是一種 洲,1
亞運,亞,運,亞運 是一種 運,1
交代,交,代,交代 是一種 代,0
交保,交,保,交保 是一種 保,0
交替,交,替,交替 是一種 替,0
交由,交,由,交由 是一種 由,0
交給,交,給,交給 是一種 給,0
亦即,亦,即,亦即 是一種 即,1
人事,人,事,人事 是一種 事,1
人人,人,人,人人 是一種 人,1
人們,人,們,人們 是一種 們,1
人力,人,力,人力 是一種 力,0
人口,人,口,人口 是一種 口,0
人員,人,員,人員 是一種 員,1
人士,人,士,人士 是一種 士,0
人家,人,家,人家 是一種 家,0
人性,人,性,人性 是一種 性,1
人才,人,才,人才 是一種 才,0
人民,人,民,人民 是一種 民,0
人氣,人,氣,人氣 是一種 氣,0
人物,人,物,人物 是一種 物,0
人生,人,生,人生 是一種 生,1
人類,人,類,人類 是一種 類,0
什麼,什,麼,什麼 是一種 麼,0
仔細,仔,細,仔細 是一種 細,0
他人,他,人,他人 是一種 人,1
他們,他,們,他們 是一種 們,0
付諸,付,諸,付諸 是一種 諸,0
付費,付,費,付費 是一種 費,0
代為,代,為,代為 是一種 為,0
代謝,代,謝,代謝 是一種 謝,0
令兄,令,兄,令兄 是一種 兄,1
令妹,令,妹,令妹 是一種 妹,1
令尊,令,尊,令尊 是一種 尊,0
令郎,令,郎,令郎 是一種 郎,0
以來,以,來,以來 是一種 來,1
以內,以,內,以內 是一種 內,0
以前,以,前,以前 是一種 前,0
以外,以,外,以外 是一種 外,1
以後,以,後,以後 是一種 後,0
以為,以,為,以為 是一種 為,0
以降,以,降,以降 是一種 降,0
仰賴,仰,賴,仰賴 是一種 賴,0
任何,任,何,任何 是一種 何,0
任務,任,務,任務 是一種 務,0
任命,任,命,任命 是一種 命,0
任意,任,意,任意 是一種 意,0
任憑,任,憑,任憑 是一種 憑,1
任由,任,由,任由 是一種 由,0
份子,份,子,份子 是一種 子,0
仿照,仿,照,仿照 是一種 照,0
企圖,企,圖,企圖 是一種 圖,1
企業,企,業,企業 是一種 業,0
休息,休,息,休息 是一種 息,1
估價,估,價,估價 是一種 價,0
估計,估,計,估計 是一種 計,0
伸手,伸,手,伸手 是一種 手,0
似的,似,的,似的 是一種 的,0
但願,但,願,但願 是一種 願,1
位置,位,置,位置 是一種 置,0
位處,位,處,位處 是一種 處,0
低溫,低,溫,低溫 是一種 溫,1
低階,低,階,低階 是一種 階,1
住宅,住,宅,住宅 是一種 宅,1
住房,住,房,住房 是一種 房,1
佔領,佔,領,佔領 是一種 領,0
何等,何,等,何等 是一種 等,0
何者,何,者,何者 是一種 者,0
作主,作,主,作主 是一種 主,0
作出,作,出,作出 是一種 出,0
作品,作,品,作品 是一種 品,1
作夢,作,夢,作夢 是一種 夢,0
作家,作,家,作家 是一種 家,0
作怪,作,怪,作怪 是一種 怪,0
作戰,作,戰,作戰 是一種 戰,1
作法,作,法,作法 是一種 法,0
作為,作,為,作為 是一種 為,0
作用,作,用,作用 是一種 用,0
作者,作,者,作者 是一種 者,0
你們,你,們,你們 是一種 們,0
來信,來,信,來信 是一種 信,1
來源,來,源,來源 是一種 源,1
來自,來,自,來自 是一種 自,0
供應,供,應,供應 是一種 應,0
依循,依,循,依循 是一種 循,1
依據,依,據,依據 是一種 據,0
依舊,依,舊,依舊 是一種 舊,0
依賴,依,賴,依賴 是一種 賴,0
便宜,便,宜,便宜 是一種 宜,0
便是,便,是,便是 是一種 是,0
促進,促,進,促進 是一種 進,1
俗稱,俗,稱,俗稱 是一種 稱,1
保存,保,存,保存 是一種 存,0
保守,保,守,保守 是一種 守,1
保持,保,持,保持 是一種 持,0
保有,保,有,保有 是一種 有,0
保留,保,留,保留 是一種 留,1
保羅,保,羅,保羅 是一種 羅,0
保證,保,證,保證 是一種 證,1
保障,保,障,保障 是一種 障,0
保險,保,險,保險 是一種 險,0
信箱,信,箱,信箱 是一種 箱,1
信託,信,託,信託 是一種 託,1
信賴,信,賴,信賴 是一種 賴,1
修行,修,行,修行 是一種 行,0
個人,個,人,個人 是一種 人,1
個性,個,性,個性 是一種 性,0
借來,借,來,借來 是一種 來,0
借宿,借,宿,借宿 是一種 宿,1
倫敦,倫,敦,倫敦 是一種 敦,0
假裝,假,裝,假裝 是一種 裝,1
假設,假,設,假設 是一種 設,0
偉大,偉,大,偉大 是一種 大,0
做主,做,主,做主 是一種 主,0
做人,做,人,做人 是一種 人,0
做出,做,出,做出 是一種 出,0
做法,做,法,做法 是一種 法,0
做錯,做,錯,做錯 是一種 錯,0
停機,停,機,停機 是一種 機,0
停留,停,留,停留 是一種 留,1
停車,停,車,停車 是一種 車,0
停電,停,電,停電 是一種 電,0
健全,健,全,健全 是一種 全,1
健康,健,康,健康 是一種 康,0
傑克,傑,克,傑克 是一種 克,0
傑出,傑,出,傑出 是一種 出,0
催眠,催,眠,催眠 是一種 眠,0
傾卸,傾,卸,傾卸 是一種 卸,0
傾向,傾,向,傾向 是一種 向,0
傾心,傾,心,傾心 是一種 心,0
僅有,僅,有,僅有 是一種 有,1
價值,價,值,價值 是一種 值,0
優先,優,先,優先 是一種 先,0
優勢,優,勢,優勢 是一種 勢,1
優惠,優,惠,優惠 是一種 惠,1
優秀,優,秀,優秀 是一種 秀,0
優點,優,點,優點 是一種 點,0
儲蓄,儲,蓄,儲蓄 是一種 蓄,0
允許,允,許,允許 是一種 許,0
兄弟,兄,弟,兄弟 是一種 弟,1
充分,充,分,充分 是一種 分,0
充滿,充,滿,充滿 是一種 滿,0
先天,先,天,先天 是一種 天,0
先決,先,決,先決 是一種 決,0
先父,先,父,先父 是一種 父,1
先生,先,生,先生 是一種 生,1
先行,先,行,先行 是一種 行,0
先進,先,進,先進 是一種 進,0
光電,光,電,光電 是一種 電,1
兒子,兒,子,兒子 是一種 子,0
兒時,兒,時,兒時 是一種 時,1
兒童,兒,童,兒童 是一種 童,0
兔子,兔,子,兔子 是一種 子,0
入口,入,口,入口 是一種 口,0
入手,入,手,入手 是一種 手,0
入迷,入,迷,入迷 是一種 迷,0
入選,入,選,入選 是一種 選,0
內子,內,子,內子 是一種 子,1
內容,內,容,內容 是一種 容,1
內行,內,行,內行 是一種 行,0
全球,全,球,全球 是一種 球,1
全身,全,身,全身 是一種 身,0
全面,全,面,全面 是一種 面,0
兩岸,兩,岸,兩岸 是一種 岸,0
兩造,兩,造,兩造 是一種 造,0
共識,共,識,共識 是一種 識,1
其一,其,一,其一 是一種 一,0
其二,其,二,其二 是一種 二,0
其他,其,他,其他 是一種 他,0
其它,其,它,其它 是一種 它,0
其次,其,次,其次 是一種 次,0
典型,典,型,典型 是一種 型,1
典雅,典,雅,典雅 是一種 雅,1
再見,再,見,再見 是一種 見,0
最佳,最,佳,最佳 是一種 佳,0
最多,最,多,最多 是一種 多,0
最少,最,少,最少 是一種 少,1
最後,最,後,最後 是一種 後,0
最早,最,早,最早 是一種 早,0
最近,最,近,最近 是一種 近,0
冬季,冬,季,冬季 是一種 季,0
冰雪,冰,雪,冰雪 是一種 雪,1
冷戰,冷,戰,冷戰 是一種 戰,1
冷淡,冷,淡,冷淡 是一種 淡,0
冷血,冷,血,冷血 是一種 血,0
冷酷,冷,酷,冷酷 是一種 酷,0
冷門,冷,門,冷門 是一種 門,0
冷靜,冷,靜,冷靜 是一種 靜,0
凌亂,凌,亂,凌亂 是一種 亂,1
凌晨,凌,晨,凌晨 是一種 晨,0
凍原,凍,原,凍原 是一種 原,1
出任,出,任,出任 是一種 任,1
出來,出,來,出來 是一種 來,0
出去,出,去,出去 是一種 去,1
出嫁,出,嫁,出嫁 是一種 嫁,1
出租,出,租,出租 是一種 租,1
出自,出,自,出自 是一種 自,1
出身,出,身,出身 是一種 身,0
出錢,出,錢,出錢 是一種 錢,0
出門,出,門,出門 是一種 門,1
出面,出,面,出面 是一種 面,0
分出,分,出,分出 是一種 出,0
分別,分,別,分別 是一種 別,0
分化,分,化,分化 是一種 化,0
分區,分,區,分區 是一種 區,0
分擔,分,擔,分擔 是一種 擔,0
分期,分,期,分期 是一種 期,0
分析,分,析,分析 是一種 析,0
分段,分,段,分段 是一種 段,0
分為,分,為,分為 是一種 為,0
分班,分,班,分班 是一種 班,0
分級,分,級,分級 是一種 級,0
分組,分,組,分組 是一種 組,0
分角,分,角,分角 是一種 角,0
分解,分,解,分解 是一種 解,1
分辨,分,辨,分辨 是一種 辨,0
分鐘,分,鐘,分鐘 是一種 鐘,0
分隔,分,隔,分隔 是一種 隔,0
刑事,刑,事,刑事 是一種 事,0
初步,初,步,初步 是一種 步,1
判刑,判,刑,判刑 是一種 刑,0
判定,判,定,判定 是一種 定,1
判斷,判,斷,判斷 是一種 斷,0
判決,判,決,判決 是一種 決,1
別人,別,人,別人 是一種 人,1
到期,到,期,到期 是一種 期,0
到案,到,案,到案 是一種 案,0
制伏,制,伏,制伏 是一種 伏,1
制止,制,止,制止 是一種 止,0
刻意,刻,意,刻意 是一種 意,0
前後,前,後,前後 是一種 後,0
前者,前,者,前者 是一種 者,1
前面,前,面,前面 是一種 面,0
剖析,剖,析,剖析 是一種 析,0
剛剛,剛,剛,剛剛 是一種 剛,0
剛好,剛,好,剛好 是一種 好,0
割禮,割,禮,割禮 是一種 禮,1
創作,創,作,創作 是一種 作,1
創意,創,意,創意 是一種 意,0
創造,創,造,創造 是一種 造,1
劇毒,劇,毒,劇毒 是一種 毒,1
劇院,劇,院,劇院 是一種 院,1
劉備,劉,備,劉備 是一種 備,0
力圖,力,圖,力圖 是一種 圖,1
力爭,力,爭,力爭 是一種 爭,1
力量,力,量,力量 是一種 量,1
功能,功,能,功能 是一種 能,0
助力,助,力,助力 是一種 力,0
助選,助,選,助選 是一種 選,0
助陣,助,陣,助陣 是一種 陣,0
勇士,勇,士,勇士 是一種 士,0
勉強,勉,強,勉強 是一種 強,1
勒令,勒,令,勒令 是一種 令,0
勒索,勒,索,勒索 是一種 索,1
動作,動,作,動作 是一種 作,0
動員,動,員,動員 是一種 員,0
動工,動,工,動工 是一種 工,0
動心,動,心,動心 是一種 心,0
動物,動,物,動物 是一種 物,1
動盪,動,盪,動盪 是一種 盪,0
動詞,動,詞,動詞 是一種 詞,1
勝過,勝,過,勝過 是一種 過,0
